RES	NOISE_FRAC	TIME	STATE	COUNTEREXAMPLE	COMMAND
safe	0.06000000000000005	3.719209909439087	[-0.88591194, 0.052855264, 0.83994544, -0.2426781, -0.408875, -2.098437e-09, 1.0, 1.0]	None	3
safe	0.064	2.563133716583252	[-0.88423616, 0.051766, 0.9946307, -0.28737, -0.4088753, -5.234892e-09, 1.0, 1.0]	None	3
unsafe	0.08200000000000005	5.968886613845825	[-0.8810106, 0.049669083, 1.1735464, -0.33906254, -0.40887502, 1.2129284e-09, 1.0, 1.0]	[-1.0, 0.8696690832078462, 0.353546433448791, -0.7463457374187474, 0.10634617683049574, 0.8200000012129289, 0.9179999999999999, 0.9677046806547104]	3
safe	0.07750000000000005	4.871784687042236	[-0.8810106, 0.049669083, 1.1735464, -0.33906254, -0.40887502, 1.2129284e-09, 1.0, 1.0]	None	3
unsafe	0.08200000000000007	5.248239278793335	[-0.8810106, 0.049669083, 1.1735464, -0.33906254, -0.40887502, 1.2129284e-09, 1.0, 1.0]	[-1.0, 0.8558564036817546, 0.3535464334487908, -0.7279545061561405, 0.10634617683049596, 0.8200000012129292, 0.9179999999999999, 0.9179999999999999]	3
unsafe	0.1	7.947068214416504	[-0.87614876, 0.046508655, 1.383251, -0.39965063, -0.40887526, -1.5333738e-09, 1.0, 1.0]	[-0.7126327358256741, 0.6344287330664928, 0.3832509517669678, -0.7085928414353224, 0.21944327394114893, 0.9999999984666262, 0.9165854879407078, 0.9]	3
safe	0.082	3.5053772926330566	[-0.87614876, 0.046508655, 1.383251, -0.39965063, -0.40887526, -1.5333738e-09, 1.0, 1.0]	None	3
unsafe	0.0955	8.206729888916016	[-0.87614876, 0.046508655, 1.383251, -0.39965063, -0.40887526, -1.5333738e-09, 1.0, 1.0]	[-1.0, 1.0015086549520493, 0.4282509517669677, -0.7676557880441957, 0.19116894005884078, 0.9549999984666263, 0.9045, 0.9045]	3
safe	0.09325000000000001	8.505817890167236	[-0.87614876, 0.046508655, 1.383251, -0.39965063, -0.40887526, -1.5333738e-09, 1.0, 1.0]	None	3
safe	0.1	6.480337381362915	[-0.86953574, 0.04220968, 1.6278217, -0.47031233, -0.40887502, -2.9856726e-09, 1.0, 1.0]	None	3
